STATUS | wrapper  | 2013/03/21 09:40:47 | ActiveMQ installed.
STATUS | wrapper  | 2013/03/21 13:40:22 | --> Wrapper Started as Service
STATUS | wrapper  | 2013/03/21 13:40:23 | Launching a JVM...
INFO   | jvm 1    | 2013/03/21 13:40:42 | Wrapper (Version 3.2.3) http://wrapper.tanukisoftware.org
INFO   | jvm 1    | 2013/03/21 13:40:42 |   Copyright 1999-2006 Tanuki Software, Inc.  All Rights Reserved.
INFO   | jvm 1    | 2013/03/21 13:40:42 | 
INFO   | jvm 1    | 2013/03/21 13:40:43 | Java Runtime: Oracle Corporation 1.7.0_07 C:\Program Files (x86)\Java\jre7
INFO   | jvm 1    | 2013/03/21 13:40:43 |   Heap sizes: current=15872k  free=12549k  max=506816k
INFO   | jvm 1    | 2013/03/21 13:40:43 |     JVM args: -Dactivemq.home=C:\Users\s\Desktop\EMRCoding\apache-uima-as-2.4.0\apache-activemq-5.4.1\bin\win32\..\.. -Dactivemq.base=C:\Users\s\Desktop\EMRCoding\apache-uima-as-2.4.0\apache-activemq-5.4.1\bin\win32\..\.. -Djavax.net.ssl.keyStorePassword=password -Djavax.net.ssl.trustStorePassword=password -Djavax.net.ssl.keyStore=C:\Users\s\Desktop\EMRCoding\apache-uima-as-2.4.0\apache-activemq-5.4.1\bin\win32\..\../conf/broker.ks -Djavax.net.ssl.trustStore=C:\Users\s\Desktop\EMRCoding\apache-uima-as-2.4.0\apache-activemq-5.4.1\bin\win32\..\../conf/broker.ts -Dcom.sun.management.jmxremote -Dorg.apache.activemq.UseDedicatedTaskRunner=true -Djava.util.logging.config.file=logging.properties -Xmx512m -Djava.library.path=C:\Users\s\Desktop\EMRCoding\apache-uima-as-2.4.0\apache-activemq-5.4.1\bin\win32\..\../bin/win32 -Dwrapper.key=FNZPqWHmELpoIilX -Dwrapper.port=32000 -Dwrapper.jvm.port.min=31000 -Dwrapper.jvm.port.max=31999 -Dwrapper.pid=2064 -Dwrapper.version=3.2.3 -Dwrapper.native_library=wrapper -Dwrapper.service=TRUE -Dwrapper.cpu.timeout=10 -Dwrapper.jvmid=1
INFO   | jvm 1    | 2013/03/21 13:40:43 | ACTIVEMQ_HOME: C:\Users\s\Desktop\EMRCoding\apache-uima-as-2.4.0\apache-activemq-5.4.1\bin\win32\..\..
INFO   | jvm 1    | 2013/03/21 13:40:43 | ACTIVEMQ_BASE: C:\Users\s\Desktop\EMRCoding\apache-uima-as-2.4.0\apache-activemq-5.4.1\bin\win32\..\..
INFO   | jvm 1    | 2013/03/21 13:40:44 | Loading message broker from: xbean:activemq.xml
INFO   | jvm 1    | 2013/03/21 13:40:44 | log4j:WARN No appenders could be found for logger (org.apache.activemq.xbean.XBeanBrokerFactory).
INFO   | jvm 1    | 2013/03/21 13:40:44 | log4j:WARN Please initialize the log4j system properly.
INFO   | jvm 1    | 2013/03/21 13:40:45 | ERROR: java.lang.RuntimeException: Failed to execute start task. Reason: org.springframework.beans.factory.BeanDefinitionStoreException: IOException parsing XML document from class path resource [activemq.xml]; nested exception is java.io.FileNotFoundException: class path resource [activemq.xml] cannot be opened because it does not exist
INFO   | jvm 1    | 2013/03/21 13:40:45 | java.lang.RuntimeException: Failed to execute start task. Reason: org.springframework.beans.factory.BeanDefinitionStoreException: IOException parsing XML document from class path resource [activemq.xml]; nested exception is java.io.FileNotFoundException: class path resource [activemq.xml] cannot be opened because it does not exist
INFO   | jvm 1    | 2013/03/21 13:40:45 | 	at org.apache.activemq.console.command.StartCommand.runTask(StartCommand.java:98)
INFO   | jvm 1    | 2013/03/21 13:40:45 | 	at org.apache.activemq.console.command.AbstractCommand.execute(AbstractCommand.java:57)
INFO   | jvm 1    | 2013/03/21 13:40:45 | 	at org.apache.activemq.console.command.ShellCommand.runTask(ShellCommand.java:143)
INFO   | jvm 1    | 2013/03/21 13:40:45 | 	at org.apache.activemq.console.command.AbstractCommand.execute(AbstractCommand.java:57)
INFO   | jvm 1    | 2013/03/21 13:40:45 | 	at org.apache.activemq.console.command.ShellCommand.main(ShellCommand.java:85)
INFO   | jvm 1    | 2013/03/21 13:40:45 | 	at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)
INFO   | jvm 1    | 2013/03/21 13:40:45 | 	at sun.reflect.NativeMethodAccessorImpl.invoke(Unknown Source)
INFO   | jvm 1    | 2013/03/21 13:40:45 | 	at sun.reflect.DelegatingMethodAccessorImpl.invoke(Unknown Source)
INFO   | jvm 1    | 2013/03/21 13:40:45 | 	at java.lang.reflect.Method.invoke(Unknown Source)
INFO   | jvm 1    | 2013/03/21 13:40:45 | 	at org.apache.activemq.console.Main.runTaskClass(Main.java:251)
INFO   | jvm 1    | 2013/03/21 13:40:45 | 	at org.apache.activemq.console.Main.main(Main.java:107)
INFO   | jvm 1    | 2013/03/21 13:40:45 | 	at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)
INFO   | jvm 1    | 2013/03/21 13:40:45 | 	at sun.reflect.NativeMethodAccessorImpl.invoke(Unknown Source)
