total	tal
blepharoplasty	blepharoplasty
plastic	plastics
arch	arch
dissection	dissection
parts	novikov's antiseptic fluid supplementary concept
implants	dental implants, single-tooth
hypokinesis	hypokinesia
ebl	negative regulation of preblastoderm mitotic cell cycle
insertion	cotranscriptional insertion or deletion editing
roll	channel-conductance-controlling atpase activity
fr	fr
snare	napa
right	bmp signaling pathway involved in determination of lateral mesoderm left/right asymmetry
deep	upper extremity deep vein thrombosis
adequacy	standards subheading
allergies	hypersensitivity
limits	patient protection and affordable care act
saline	sodium chloride
asymmetry	facial asymmetry
death	activated t cell autonomous cell death
image	image
number	dna copy number variations
junction	adherens junction
gm	gm
perfusion	perfusion
gi	gnai1
opening	suture of dorsal opening
quality	quality assurance, health care
instruments	instrumentation subheading
hospital	hospitals
epidural	hematoma, epidural, cranial
blackout	rolling blackout protein, drosophila supplementary concept
trendelenburg	head-down tilt
transfusions	blood transfusion
ventricle	cardiac left ventricle formation
implant	embryo implantation
opacification	capsule opacification
meds	methyl-8-ethyl-1,7-dioxaspiro5.6dodecane supplementary concept
analgesia	analgesia
merocel	polyvinyl alcohol formaldehyde foam supplementary concept
duodenoscope	duodenoscopes
ventilation	ventilation
sulbactam	sulbactam
modification	protein modification, translational
patient	patients
appointments	appointments and schedules
side	side
intervention	early intervention education
left	acetylcholine catabolic process in synaptic cleft
baseline	potassium channels, tandem pore domain
chamber	cardiac chamber ballooning
coumadin	warfarin
max	max
meatus	ear canal
morning	morning sickness
nerve	abducens nerve development
fluoroscopic	radiographic magnification
l3-4	burkitt lymphoma
history	history
phonation	phonation
ports	vascular access devices
lesions	radial neuropathy
trachea	branch fusion, open tracheal system
days	sick leave
detachment	vitreous detachment
gauze	jelonet supplementary concept
diplopia	diplopia
specimens	replica techniques
pillars	palatine tonsil
sedation	conscious sedation
body	adult fat body development
extremity	extremities
ventriculography	cerebral ventriculography
cautery	cautery
leakage	dental leakage
bursa	bursa
root	adventitious root development
drop	r-dehydropantoate dehydrogenase activity
stone	calculi
pds	taf8 protein, drosophila supplementary concept
catheterization	catheterization
completion	cytokinesis, completion of separation
surgery	general surgery
ies	iodoethylspiperone supplementary concept
iodine	iodine
march	fractures, stress
specimen	specimen handling
mcg	s-2-3-r-1-carboxy-2-methylsulfanyl-ethyl-ureidopentanedioic acid supplementary concept
mci	mcidas
lidocaine	lidocaine
motion	motion
processes	autotrophic processes
hook	at-hook motifs
arthroscope	arthroscopes
fat	fat
stress	age-dependent response to oxidative stress
lens	compound eye corneal lens development
quadrant	quadrant anterior shine supplementary concept
weakness	asthenia
d12	use1
vicryl	polyglactin 910
incisions	thrombin receptor-activating peptide p508-530 supplementary concept
polyps	polyps
cm	cm
leak	leak channel activity
maximum	maximum allowable concentration
reopro	abciximab supplementary concept
amylase	loc229751
choledocholithiasis	choledocholithiasis
orders	resuscitation orders
sci	+-abscisic acid 8'-hydroxylase activity
day	holliday junction helicase complex
gel	alphav-beta3 integrin-gelsolin complex
catheter	catheters
cc	1-methylpentylsuccinate synthase activity
wall	actinobacterium-type cell wall biogenesis
spect	tomography, emission-computed, single-photon
salt	sall3
room	grooming behavior
guidance	child guidance clinics
toradol	ketorolac tromethamine
bile	bile
neck	cellular bud neck
closures	health facility closure
endoscope	endoscopes
betadine	povidone-iodine
evidence	evidence-based dentistry
powder	powders
understanding	comprehension
exercise	exercise
today	medicine, unani
colon	cellular response to granulocyte macrophage colony-stimulating factor stimulus
transitional	carcinoma, transitional cell
ejection	milk ejection
pulse	pulse
analysis	analysis subheading
lad	lad
response	activation of immune response
gallbladder	gallbladder
findings	diagnosis
area	area
edges	geristore supplementary concept
cecum	cecum
circulation	blood circulation
quantum	quantum dots
infection	adhesion of symbiont infection cushion to host
micrograms	estroprogestin supplementary concept
packing	meat-packing industry
biceps	reflex, abnormal
activity	motor activity
sites	alignment of 3' and 5' splice sites of nuclear mrna
axis	axis
corneal	compound eye corneal lens development
diameter	anisocoria
